Date;Kanton_Kurzname;Energiewirkung_GWh_CH;Massnahmenbereich
2023;CH;1524.3;Haustechnik
2023;CH;62.3;Neubau
2023;CH;103.11;Systemsanierung
2023;CH;3222.54;Total Energiewirkung Gebäudeprogramm
2023;CH;894.58;Wärmedämmung
2023;CH;638.25;Zentrale Wärmeversorgung
2023;CH;0;Haustechnik
2023;CH;0;Neubau
2023;CH;0;Systemsanierung
2024;CH;1524.3;Haustechnik
2024;CH;62.3;Neubau
2024;CH;103.11;Systemsanierung
2024;CH;3222.54;Total Energiewirkung Gebäudeprogramm
2024;CH;894.58;Wärmedämmung
2024;CH;638.25;Zentrale Wärmeversorgung
2024;CH;0;Haustechnik
2024;CH;0;Neubau
2024;CH;0;Systemsanierung
2025;CH;1486.38;Haustechnik
2025;CH;62.3;Neubau
2025;CH;103.11;Systemsanierung
2025;CH;3184.62;Total Energiewirkung Gebäudeprogramm
2025;CH;894.58;Wärmedämmung
2025;CH;638.25;Zentrale Wärmeversorgung
2025;CH;0;Haustechnik
2025;CH;0;Neubau
2025;CH;0;Systemsanierung
2026;CH;1449.8;Haustechnik
2026;CH;62.3;Neubau
2026;CH;103.11;Systemsanierung
2026;CH;3148.04;Total Energiewirkung Gebäudeprogramm
2026;CH;894.58;Wärmedämmung
2026;CH;638.25;Zentrale Wärmeversorgung
2026;CH;0;Haustechnik
2026;CH;0;Neubau
2026;CH;0;Systemsanierung
2027;CH;1415.56;Haustechnik
2027;CH;62.3;Neubau
2027;CH;103.11;Systemsanierung
2027;CH;3113.8;Total Energiewirkung Gebäudeprogramm
2027;CH;894.58;Wärmedämmung
2027;CH;638.25;Zentrale Wärmeversorgung
2027;CH;0;Haustechnik
2027;CH;0;Neubau
2027;CH;0;Systemsanierung
2028;CH;1381.16;Haustechnik
2028;CH;62.3;Neubau
2028;CH;103.11;Systemsanierung
2028;CH;3079.4;Total Energiewirkung Gebäudeprogramm
2028;CH;894.58;Wärmedämmung
2028;CH;638.25;Zentrale Wärmeversorgung
2028;CH;0;Haustechnik
2028;CH;0;Neubau
2028;CH;0;Systemsanierung
2029;CH;1342.3;Haustechnik
2029;CH;62.3;Neubau
2029;CH;103.11;Systemsanierung
2029;CH;3040.54;Total Energiewirkung Gebäudeprogramm
2029;CH;894.58;Wärmedämmung
2029;CH;638.25;Zentrale Wärmeversorgung
2029;CH;0;Haustechnik
2029;CH;0;Neubau
2029;CH;0;Systemsanierung
2030;CH;1267.07;Haustechnik
2030;CH;62.3;Neubau
2030;CH;101.67;Systemsanierung
2030;CH;2916.04;Total Energiewirkung Gebäudeprogramm
2030;CH;894.58;Wärmedämmung
2030;CH;590.42;Zentrale Wärmeversorgung
2030;CH;0;Haustechnik
2030;CH;0;Neubau
2030;CH;0;Systemsanierung
2031;CH;1176.12;Haustechnik
2031;CH;62.3;Neubau
2031;CH;99.8;Systemsanierung
2031;CH;2772.64;Total Energiewirkung Gebäudeprogramm
2031;CH;894.58;Wärmedämmung
2031;CH;539.83;Zentrale Wärmeversorgung
2031;CH;0;Haustechnik
2031;CH;0;Neubau
2031;CH;0;Systemsanierung
2032;CH;1073.5;Haustechnik
2032;CH;62.3;Neubau
2032;CH;96.92;Systemsanierung
2032;CH;2617.93;Total Energiewirkung Gebäudeprogramm
2032;CH;894.58;Wärmedämmung
2032;CH;490.62;Zentrale Wärmeversorgung
2032;CH;0;Haustechnik
2032;CH;0;Neubau
2032;CH;0;Systemsanierung
